=== Run information ===

Scheme:weka.classifiers.lazy.IBk -K 21 -W 0 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\""
Relation:     lung_cancer-weka.filters.unsupervised.attribute.Remove-R1-2
Instances:    1000
Attributes:   24
              Age
              Gender
              Air Pollution
              Alcohol use
              Dust Allergy
              OccuPational Hazards
              Genetic Risk
              chronic Lung Disease
              Balanced Diet
              Obesity
              Smoking
              Passive Smoker
              Chest Pain
              Coughing of Blood
              Fatigue
              Weight Loss
              Shortness of Breath
              Wheezing
              Swallowing Difficulty
              Clubbing of Finger Nails
              Frequent Cold
              Dry Cough
              Snoring
              Level
Test mode:10-fold cross-validation

=== Classifier model (full training set) ===

IB1 instance-based classifier
using 21 nearest neighbour(s) for classification


Time taken to build model: 0 seconds

=== Predictions on test data ===

inst#,    actual, predicted, error, probability distribution
     1      1:Low      1:Low         *1      0      0    
     2      1:Low      1:Low         *1      0      0    
     3      1:Low      1:Low         *1      0      0    
     4      1:Low      1:Low         *0.714  0.286  0    
     5      1:Low      1:Low         *1      0      0    
     6      1:Low      1:Low         *1      0      0    
     7      1:Low      1:Low         *1      0      0    
     8      1:Low      1:Low         *1      0      0    
     9      1:Low      1:Low         *1      0      0    
    10      1:Low      1:Low         *1      0      0    
    11      1:Low      1:Low         *1      0      0    
    12      1:Low      1:Low         *1      0      0    
    13      1:Low      1:Low         *1      0      0    
    14      1:Low      1:Low         *1      0      0    
    15      1:Low      1:Low         *1      0      0    
    16      1:Low      1:Low         *1      0      0    
    17      1:Low      1:Low         *0.667  0.333  0    
    18      1:Low      1:Low         *1      0      0    
    19      1:Low      1:Low         *1      0      0    
    20      1:Low   2:Medium      +   0.29  *0.71   0    
    21      1:Low      1:Low         *1      0      0    
    22      1:Low      1:Low         *0.714  0.286  0    
    23      1:Low      1:Low         *0.714  0.286  0    
    24      1:Low      1:Low         *1      0      0    
    25      1:Low      1:Low         *1      0      0    
    26      1:Low      1:Low         *1      0      0    
    27      1:Low      1:Low         *1      0      0    
    28      1:Low      1:Low         *1      0      0    
    29      1:Low      1:Low         *1      0      0    
    30      1:Low      1:Low         *0.72   0.28   0    
    31      1:Low      1:Low         *1      0      0    
    32   2:Medium   2:Medium          0     *1      0    
    33   2:Medium   2:Medium          0     *1      0    
    34   2:Medium   2:Medium          0     *1      0    
    35   2:Medium   2:Medium          0     *1      0    
    36   2:Medium   2:Medium          0     *1      0    
    37   2:Medium   2:Medium          0     *1      0    
    38   2:Medium   2:Medium          0     *1      0    
    39   2:Medium   2:Medium          0     *1      0    
    40   2:Medium   2:Medium          0     *1      0    
    41   2:Medium   2:Medium          0     *1      0    
    42   2:Medium   2:Medium          0.28  *0.72   0    
    43   2:Medium   2:Medium          0     *1      0    
    44   2:Medium   2:Medium          0     *1      0    
    45   2:Medium   2:Medium          0     *1      0    
    46   2:Medium   2:Medium          0.28  *0.72   0    
    47   2:Medium   2:Medium          0     *1      0    
    48   2:Medium   2:Medium          0     *1      0    
    49   2:Medium   2:Medium          0     *1      0    
    50   2:Medium   2:Medium          0     *0.652  0.348
    51   2:Medium   2:Medium          0     *1      0    
